sampleNumber,etfCode,name,grade,readinessScore,selectionPhase,selectionReasons,issuer,benchmarkName,rawTypeText,topHoldings,currentTagIds,currentTagLabels,lowConfidenceTagIds,missingFields,decision,correctedTagIds,reviewNote,reviewer,reviewedAt
155,404650,SOL KRX기후변화솔루션,C,53,low_confidence,저신뢰 분류 1건: 클린에너지,,KRX 기후변화 솔루션지수,,씨에스윈드 9.18%|한화솔루션 8.26%|삼성SDI 7.95%|SK하이닉스 7.93%|삼성전자 7.66%|한화 7.06%|현대차 6.69%|포스코DX 6.22%|두산퓨얼셀 5.72%|SK오션플랜트 5.28%,sector.clean_energy|asset.equity|region.domestic_kr|strategy.passive_index,클린에너지|주식|국내|지수추종(패시브),sector.clean_energy,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
156,457990,PLUS 태양광&ESS,C,53,low_confidence,저신뢰 분류 1건: 전기차/2차전지,,FnGuide 태양광 & ESS 지수,,한화솔루션 25.76%|OCI홀딩스 16.44%|HD현대에너지솔루션 13.41%|삼성SDI 10.05%|LG에너지솔루션 8.72%|LS ELECTRIC 7.21%|SK이터닉스 6.75%|레이크머티리얼즈 4.47%|에코프로비엠 3.98%|포스코퓨처엠 3.14%,sector.clean_energy|sector.ev_battery|asset.equity|region.domestic_kr|strategy.passive_index,클린에너지|전기차/2차전지|주식|국내|지수추종(패시브),sector.ev_battery,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
157,464600,SOL 자동차소부장Fn,C,53,low_confidence,저신뢰 분류 1건: 경기소비재,,FnGuide 자동차소부장지수(PR),,현대모비스 11.05%|LG전자 10.7%|삼성전기 9.2%|현대오토에버 8.3%|LG이노텍 7.81%|한온시스템 7.05%|HL만도 6.32%|고영 5.76%|삼성전자 5.43%|현대위아 3.86%,sector.consumer_discretionary|asset.equity|region.domestic_kr|strategy.passive_index,경기소비재|주식|국내|지수추종(패시브),sector.consumer_discretionary,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
158,469070,RISE AI&로봇,C,53,low_confidence,저신뢰 분류 1건: 휴머노이드로봇/로보틱스,,iSelect AI&로봇 지수(시장가격),,NAVER 6.6%|LG전자 5.81%|LG씨엔에스 5.77%|로보티즈 5.67%|레인보우로보틱스 5.38%|현대차 5.23%|두산로보틱스 5.05%|현대모비스 4.67%|HL만도 4.66%|에스피지 3.63%,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,주식|국내|지수추종(패시브)|휴머노이드로봇/로보틱스,sector.robotics,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
159,484880,SOL 금융지주플러스고배당,C,53,low_confidence,저신뢰 분류 1건: 한국 고배당,,FnGuide 금융지주플러스고배당 지수(PR),,KB금융 22.28%|신한지주 20.95%|하나금융지주 19.71%|우리금융지주 14.54%|한국금융지주 6.99%|NH투자증권 4.29%|BNK금융지주 3.73%|JB금융지주 3.2%|메리츠금융지주 2.46%|iM금융지주 1.86%,sector.financials|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,금융|한국 고배당|주식|국내|지수추종(패시브),dividend.korea_high_dividend,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
160,491820,HANARO 전력설비투자,C,53,low_confidence,저신뢰 분류 1건: AI전력/인프라,,iSelect 전력설비투자 지수,,효성중공업 20.14%|LS ELECTRIC 19.66%|HD현대일렉트릭 18.66%|LS 13.18%|대한전선 8.29%|산일전기 5.76%|일진전기 3.75%|가온전선 3.61%|대원전선 1.53%|LS에코에너지 1.22%,sector.ai_power_infrastructure|asset.equity|region.domestic_kr|strategy.passive_index,AI전력/인프라|주식|국내|지수추종(패시브),sector.ai_power_infrastructure,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
161,0104P0,TIGER 코리아배당다우존스위클리커버드콜,C,52,low_confidence,저신뢰 분류 1건: 한국 고배당,,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,,JB금융지주 4.7%|미스토홀딩스 4.56%|하나금융지주 4.53%|DB손해보험 4.37%|영원무역 4.31%|BNK금융지주 4.23%|우리금융지주 4.17%|기업은행 4.16%|한국타이어앤테크놀로지 3.99%|삼성화재 3.98%,dividend.covered_call|dividend.korea_high_dividend|region.us|asset.equity|strategy.passive_index,커버드콜 배당|한국 고배당|미국|주식|지수추종(패시브),dividend.korea_high_dividend,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
162,0151P0,RISE 코리아전략산업액티브,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KAP 코리아전략산업지수,,삼성전자 30.25%|SK하이닉스 19.55%|테스 6.02%|브이엠 5.42%|SK스퀘어 4.05%|LS 3.88%|삼성전기 3.66%|LS ELECTRIC 3.27%|효성중공업 3.1%|현대모비스 3.02%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
163,0162Y0,TIME 코스닥액티브,C,52,low_confidence,저신뢰 분류 1건: 반도체,,코스닥,,인텍플러스 8.26%|테스 8.05%|주성엔지니어링 4.73%|알테오젠 3.94%|피에스케이 3.7%|파마리서치 2.94%|심텍 2.72%|피에스케이홀딩스 2.49%|기가비스 2.47%|엘앤씨바이오 2.45%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
164,0163Y0,KoAct 코스닥액티브,C,52,low_confidence,저신뢰 분류 1건: 반도체,,코스닥,,테스 10.02%|리노공업 6.16%|피에스케이홀딩스 3.99%|심텍 3.89%|알테오젠 3.87%|성호전자 3.2%|티엘비 3.17%|파마리서치 3.12%|코미코 2.92%|피에스케이 2.69%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
165,0166S0,PLUS K제조업핵심기업액티브,C,52,low_confidence,저신뢰 분류 1건: 반도체,,Akros K제조업 50 지수,,삼성전자 25.39%|SK하이닉스 23.43%|삼성전자우 5.67%|SK스퀘어 4.49%|삼성물산 4.19%|PLUS 코스피50 3.94%|LS 3.63%|한화오션 3.1%|LG에너지솔루션 3.02%|두산에너빌리티 2.36%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
166,0191B0,MIDAS 코스닥액티브,C,52,low_confidence,저신뢰 분류 1건: 반도체,,코스닥,,브이엠 7.76%|테스 7.5%|인텍플러스 6.97%|피에스케이 4.87%|기가비스 4.81%|엘티씨 4.49%|알테오젠 4.18%|심텍 3.85%|네오티스 3.39%|티엘비 2.7%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
167,0192M0,RISE 삼성전자단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 지수,,삼성전자 68.68%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
168,0193G0,KoAct 코스피액티브,C,52,low_confidence,저신뢰 분류 1건: 반도체,,코스피,,삼성전자 30.28%|SK하이닉스 23.91%|SK스퀘어 4.65%|KB금융 4.21%|LG에너지솔루션 2.55%|삼성전기 2.43%|HD현대중공업 2.07%|현대차 1.78%|삼성생명 1.77%|삼성물산 1.62%,sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,반도체|액티브|주식|국내,sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
169,0193K0,PLUS 삼성전자단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 지수,,삼성전자 85.65%|RISE 삼성전자단일종목레버리지 8.33%|TIGER 삼성전자단일종목레버리지 4.55%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
170,0193W0,KODEX 삼성전자단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 지수,,삼성전자 90.87%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
171,0194M0,ACE 삼성전자단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 지수,,삼성전자 71.3%|RISE 삼성전자단일종목레버리지 11.34%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
172,0194N0,KIWOOM 삼성전자선물단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 선물 지수,,삼성전자 17.23%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
173,0194R0,KIWOOM SK하이닉스선물단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX SK하이닉스 선물 지수,,SK하이닉스 14.45%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
174,0195R0,TIGER 삼성전자단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 지수,,삼성전자 76.06%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
175,0198B0,1Q 삼성전자선물단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX 삼성전자 선물 지수,,삼성전자 31.93%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
176,0198D0,1Q SK하이닉스선물단일종목레버리지,C,52,low_confidence,저신뢰 분류 1건: 반도체,,KRX SK하이닉스 선물 지수,,SK하이닉스 28.61%,strategy.leverage|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|반도체|주식|국내|지수추종(패시브),sector.semiconductor,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
177,0199C0,ACE 고배당주Plus커버드콜액티브,C,52,low_confidence,저신뢰 분류 1건: 금융,,KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수,,삼성전자 8.85%|SK하이닉스 8.79%|삼성화재 6.48%|한국타이어앤테크놀로지 6.38%|코리안리 5.15%|삼성증권 5.14%|KB금융 4.78%|DB손해보험 4.68%|한국앤컴퍼니 4.62%|JB금융지주 4.57%,dividend.covered_call|dividend.korea_high_dividend|sector.financials|strategy.active|asset.equity|region.domestic_kr,커버드콜 배당|한국 고배당|금융|액티브|주식|국내,sector.financials,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
178,0098N0,PLUS 자사주매입고배당주,C,48,low_confidence,저신뢰 분류 1건: 금융,,FnGuide 고배당주 플러스 자사주 지수 (PR),,KB금융 5.69%|메리츠금융지주 5.6%|신한지주 5.18%|미스토홀딩스 5.06%|HMM 5.02%|하나금융지주 4.89%|JB금융지주 4.27%|우리금융지주 4.16%|KT&G 4.13%|기아 3.96%,dividend.korea_high_dividend|sector.financials|asset.equity|region.domestic_kr|strategy.passive_index,한국 고배당|금융|주식|국내|지수추종(패시브),sector.financials,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
179,0103T0,1Q K소버린AI,C,48,low_confidence,저신뢰 분류 1건: IT,,iSelect K소버린AI 지수,,NAVER 28.65%|카카오 23.86%|삼성에스디에스 15.33%|LG씨엔에스 6.76%|현대오토에버 6.15%|NHN 2.37%|플리토 2.24%|우리기술투자 2.13%|한글과컴퓨터 2.07%|포스코DX 2.04%,sector.it|asset.equity|region.domestic_kr|strategy.passive_index,IT|주식|국내|지수추종(패시브),sector.it,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
180,0111J0,HANARO 증권고배당TOP3플러스,C,48,low_confidence,저신뢰 분류 1건: 한국 고배당,,FnGuide 증권 고배당 TOP3 플러스 지수,,한국금융지주 21.87%|키움증권 20.09%|미래에셋증권 16.61%|NH투자증권 15.89%|삼성증권 15.49%|신영증권 4.43%|대신증권 2.29%|유안타증권 1.51%|유진투자증권 0.73%|DB증권 0.7%,sector.financials|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,금융|한국 고배당|주식|국내|지수추종(패시브),dividend.korea_high_dividend,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
181,0115E0,KODEX 코리아소버린AI,C,48,low_confidence,저신뢰 분류 1건: IT,,KRX 코리아 소버린 AI 지수,,NAVER 22.67%|SK텔레콤 7.88%|NHN 6.1%|LG씨엔에스 5.97%|한글과컴퓨터 4.63%|SK하이닉스 4.49%|LG유플러스 4.19%|삼성전자 4.14%|LS ELECTRIC 3.7%|삼성에스디에스 3.44%,sector.it|asset.equity|region.domestic_kr|strategy.passive_index,IT|주식|국내|지수추종(패시브),sector.it,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
182,0120J0,BNK 카카오그룹포커스,C,48,low_confidence,저신뢰 분류 1건: 게임/엔터/미디어,,FnGuide 카카오그룹 포커스 지수,,카카오뱅크 24.95%|카카오 17.79%|카카오페이 17.51%|에스엠 14.36%|KB금융 7.16%|카카오게임즈 5.84%|디어유 4.29%|NAVER 2.99%|SM C&C 1.09%|크래프톤 0.96%,sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,게임/엔터/미디어|주식|국내|지수추종(패시브),sector.game_entertainment_media,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
183,0153K0,KODEX 주주환원고배당주,C,48,low_confidence,저신뢰 분류 1건: 금융,,Akros 주주환원 고배당 지수 (Price Return),,미스토홀딩스 8.86%|KB금융 8.42%|하나금융지주 8.32%|신한지주 7.84%|우리금융지주 7.76%|KT&G 7.55%|JB금융지주 6.76%|KT 5.48%|제일기획 4.4%|BNK금융지주 4.27%,dividend.korea_high_dividend|sector.financials|asset.equity|region.domestic_kr|strategy.passive_index,한국 고배당|금융|주식|국내|지수추종(패시브),sector.financials,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
184,0190C0,RISE 현대차고정피지컬AI,C,48,low_confidence,저신뢰 분류 1건: 휴머노이드로봇/로보틱스,,KEDI 현대차고정피지컬AI 지수,,현대차 23.83%|현대모비스 17.92%|기아 15.14%|LG이노텍 11.93%|현대오토에버 7.4%|레인보우로보틱스 6.16%|LG씨엔에스 5.08%|두산로보틱스 3.14%|로보티즈 2.31%|에스엘 1.93%,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,주식|국내|지수추종(패시브)|휴머노이드로봇/로보틱스,sector.robotics,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
185,0049K0,ACE 미국배당퀄리티채권혼합50,C,46,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 9점,한국투자신탁운용,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,해외혼합형,,dividend.monthly|asset.bond|region.us|strategy.passive_index,월배당|채권|미국|지수추종(패시브),,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
186,223190,KODEX 200가치저변동,C,53,diversity_boundary,희소·경계 사례: 현재 태그 3개|B등급 경계와의 거리 2점,,코스피 200 가치저변동성,,삼성전자 23.23%|KB금융 5.37%|현대차 4.21%|신한지주 3.82%|기아 3.12%|하나금융지주 3.08%|POSCO홀딩스 2.34%|현대모비스 2.26%|삼성물산 2.14%|우리금융지주 1.94%,asset.equity|region.domestic_kr|strategy.passive_index,주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
187,0094M0,RISE 코리아밸류업위클리고정커버드콜,C,52,diversity_boundary,희소·경계 사례: 현재 태그 5개|B등급 경계와의 거리 3점,,코리아 밸류업 위클리 커버드콜 30% 지수,,SK하이닉스 19.23%|삼성전자 15.1%|SK스퀘어 8.24%|현대차 4.72%|KB금융 4.4%|신한지주 3.48%|기아 2.71%|하나금융지주 2.57%|한화에어로스페이스 2.41%|현대모비스 2.36%,dividend.covered_call|strategy.value_up|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|밸류업|주식|국내|지수추종(패시브),,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
188,0000J0,PLUS 한화그룹주,C,48,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 7점,,FnGuide 한화그룹주 지수,,한화에어로스페이스 21.74%|한화오션 17.74%|한화시스템 15.77%|한화솔루션 14.94%|한화엔진 8.41%|한화 7.96%|한화생명 5.12%|한화비전 4.79%|한화투자증권 1.61%|한화손해보험 1.03%,asset.equity|region.domestic_kr|strategy.passive_index|strategy.large_conglomerate_group,주식|국내|지수추종(패시브)|그룹주(계열사 집중),,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
189,0101N0,RISE AI전력인프라,C,48,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 7점,,KRX-Akros AI 전력인프라 지수,,가온전선 23.88%|LS ELECTRIC 7.93%|산일전기 6.41%|효성중공업 6.27%|대한전선 5.91%|HD현대일렉트릭 5.82%|서진시스템 5.55%|두산에너빌리티 4.97%|LS에코에너지 4.92%|제룡전기 4.81%,sector.ai_power_infrastructure|asset.equity|region.domestic_kr|strategy.passive_index,AI전력/인프라|주식|국내|지수추종(패시브),,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
190,298340,PLUS 국채선물3년,C,53,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 2점,,국채선물지수,,PLUS KOFR금리 0.93%,asset.bond.government|asset.bond|region.domestic_kr|strategy.passive_index,국채|채권|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
191,0018C0,PLUS 고배당주위클리고정커버드콜,C,52,diversity_boundary,희소·경계 사례: 현재 태그 5개|B등급 경계와의 거리 3점,,코스피 고배당 위클리 고정 커버드콜 지수,,기업은행 5.23%|DB손해보험 5.19%|NH투자증권 5.14%|우리금융지주 4.9%|하나금융지주 4.5%|기아 4.5%|삼성카드 4.46%|제일기획 4.23%|삼성증권 4.03%|KT 3.91%,dividend.covered_call|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,커버드콜 배당|한국 고배당|주식|국내|지수추종(패시브),,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
192,0177R0,TIGER 반도체TOP10커버드콜액티브,C,52,diversity_boundary,희소·경계 사례: 현재 태그 5개|B등급 경계와의 거리 3점,,FnGuide 반도체 TOP10 Capped 지수(Price Return),,SK하이닉스 20.94%|삼성전자 20.74%|TIGER 반도체TOP10 12.41%|SK스퀘어 7.64%|삼성전기 7%|원익IPS 2.91%|LG이노텍 2.61%|DB하이텍 2.47%|이오테크닉스 2.22%|한미반도체 2.1%,dividend.covered_call|sector.semiconductor|strategy.active|asset.equity|region.domestic_kr,커버드콜 배당|반도체|액티브|주식|국내,,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
193,211900,KODEX 코리아배당성장,C,53,diversity_boundary,희소·경계 사례: 현재 태그 5개|B등급 경계와의 거리 2점,,코스피 배당성장 50,,삼성카드 4.99%|DB손해보험 4.7%|JB금융지주 4.19%|BNK금융지주 3.96%|오리온홀딩스 3.72%|하나금융지주 3.4%|NH투자증권 3.36%|기아 3.34%|iM금융지주 3.26%|다우기술 3.25%,dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index|dividend.dividend_growth,한국 고배당|주식|국내|지수추종(패시브)|배당성장,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
194,0150K0,KoAct 수소전력ESS인프라액티브,C,52,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 3점,,FnGuide 수소전력ESS인프라 지수(PR),,지엔씨에너지 7.92%|SK이터닉스 7.51%|삼성SDI 6.1%|상신이디피 6.06%|LG에너지솔루션 5.56%|LS ELECTRIC 5.19%|신성에스티 4.83%|비나텍 4.59%|한중엔시에스 4.58%|LS머트리얼즈 4.52%,sector.ev_battery|strategy.active|asset.equity|region.domestic_kr,전기차/2차전지|액티브|주식|국내,,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
195,360750,TIGER 미국S&P500,C,51,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 4점,미래에셋자산운용(주),S&P 500,"해외주식형, 시장대표",,strategy.benchmark.sp500|region.us|asset.equity|strategy.passive_index,S&P500|미국|주식|지수추종(패시브),,상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
196,379810,KODEX 미국나스닥100,C,51,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 4점,삼성자산운용(주),NASDAQ-100 Total Return Index,"해외주식형, 시장대표",,strategy.benchmark.nasdaq100|region.us|asset.equity|strategy.passive_index,나스닥100|미국|주식|지수추종(패시브),,상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력,,,,,
197,139220,TIGER 200 건설,C,53,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 2점,,코스피 200 건설,,삼성물산 26.79%|삼성E&A 22.09%|현대건설 15.58%|대우건설 10.83%|한전기술 6.26%|DL이앤씨 6.08%|KCC 5.94%|한전KPS 3.33%|DL 1.67%|한일시멘트 1.04%,asset.equity|region.domestic_kr|strategy.passive_index|sector.construction,주식|국내|지수추종(패시브)|건설,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
198,139240,TIGER 200 철강소재,C,53,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 2점,,코스피 200 철강/소재,,POSCO홀딩스 23.2%|현대제철 20.65%|고려아연 19.43%|풍산 17.53%|세아베스틸지주 6.12%|영풍 2.83%|율촌화학 2.41%|세아제강지주 2.35%|아세아 2.34%|동원시스템즈 1.82%,asset.equity|region.domestic_kr|strategy.passive_index|sector.steel_metals,주식|국내|지수추종(패시브)|철강/금속,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
199,227560,TIGER 200 생활소비재,C,53,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 2점,,코스피 200 생활소비재,,KT&G 20.78%|한국전력 16.08%|에이피알 13.82%|삼양식품 6.28%|아모레퍼시픽 5.6%|오리온 4.32%|LG생활건강 3.41%|달바글로벌 2.98%|한국콜마 2.95%|CJ 2.94%,asset.equity|region.domestic_kr|strategy.passive_index|sector.consumer_staples_food,주식|국내|지수추종(패시브)|필수소비재/식품,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
200,228790,TIGER 화장품,C,53,diversity_boundary,희소·경계 사례: 현재 태그 4개|B등급 경계와의 거리 2점,,WISE 화장품 지수,,에이피알 10.77%|실리콘투 10.6%|코스맥스 10.29%|한국콜마 10.26%|파마리서치 9.96%|LG생활건강 9.25%|달바글로벌 9.19%|아모레퍼시픽 9.16%|코스메카코리아 7.23%|브이티 3.14%,asset.equity|region.domestic_kr|strategy.passive_index|sector.beauty_cosmetics,주식|국내|지수추종(패시브)|화장품/뷰티,,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
